ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
237,QC,404,5/10/2016,M,1.632,Before,10/1/2016,1410,NMP,0,0,12,3,0,4,0,0,0,N
238,QC,419,5/11/2016,M,1.781,After,10/2/2016,1130,NMP,0,0,13,1,0,2,0,0,0,N
238,QC,419,5/11/2016,M,1.781,Before,10/1/2016,1420,NMP,0,0,9,0,0,1,0,0,0,N
239,QC,401,5/11/2016,M,2.183,After,10/2/2016,1145,NMP,0,0,18,0,0,1,0,0,0,N
239,QC,401,5/11/2016,M,2.183,Before,10/1/2016,1330,NMP,0,0,11,0,0,1,0,0,0,N
240,QC,401,5/11/2016,M,1.757,After,10/2/2016,1145,NMP,3,0,16,0,0,2,1,0,0,N
240,QC,401,5/11/2016,M,1.757,Before,10/1/2016,1330,NMP,0,0,0,0,0,1,0,0,0,N
241,QC,419,5/11/2016,M,1.79,After,10/2/2016,1130,NMP,0,0,18,0,0,1,0,0,0,N
241,QC,419,5/11/2016,M,1.79,Before,10/1/2016,1420,NMP,0,0,0,0,0,0,0,0,0,N
242,QC,419,5/11/2016,M,1.737,After,10/2/2016,1130,NMP,1,0,16,0,0,2,0,0,0,N
242,QC,419,5/11/2016,M,1.737,Before,10/1/2016,1420,NMP,2,1,6,0,0,2,1,0,0,N
243,QC,401,5/11/2016,M,1.874,After,10/2/2016,1205,NMP,0,0,3,0,0,1,0,0,0,N
243,QC,401,5/11/2016,M,1.874,Before,10/1/2016,1410,NMP,0,0,4,0,0,2,0,0,0,N
244,CQ,426,5/9/2016,M,1.738,After,10/4/2016,645,NMP,0,0,5,0,0,1,0,0,0,N
244,CQ,426,5/9/2016,M,1.738,Before,10/3/2016,1300,NMP,0,0,7,1,0,2,0,0,0,N
245,CQ,405,5/9/2016,M,1.93,After,10/4/2016,655,NMP,0,0,10,0,0,1,0,0,0,N
